Round	Pick	Team	Player	Position	NFL Team	Conference	Year
6	70	Schmidts & Giggles	Tom Brady	QB	TBB	North	2021
6	71	AFCCP	T.J. Hockenson	TE	DET	North	2021
6	72	Poner	Darrell Henderson	RB	LAR	North	2021
7	73	Poner	Chase Claypool	WR	PIT	North	2021
7	74	AFCCP	Kenny Golladay	WR	NYG	North	2021
7	75	Schmidts & Giggles	Jerry Jeudy	WR	DEN	North	2021
7	76	Playoff Donkeys	Odell Beckham	WR	LAR	North	2021
7	77	Buck Wild Roosters	Courtland Sutton	WR	DEN	North	2021
7	78	Rusty Hammer	Javonte Williams	RB	DEN	North	2021
7	79	Tua Girls One Kupp	Melvin Gordon	RB	DEN	North	2021
7	80	Gridiron Guru	Robby Anderson	WR	CAR	North	2021
7	81	Raptors	Brandin Cooks	WR	HOU	North	2021
7	82	Moose Men	DeVonta Smith	WR	PHI	North	2021
7	83	Rory's Fury	Deebo Samuel	WR	SFO	North	2021
7	84	Banana's Bunch	Trey Sermon	RB	SFO	North	2021
8	85	Banana's Bunch	Justin Herbert	QB	LAC	North	2021
8	86	Rory's Fury	Tyler Higbee	TE	LAR	North	2021
8	87	Moose Men	Kenyan Drake	RB	LVR	North	2021
8	88	Raptors	Tyler Boyd	WR	CIN	North	2021
8	89	Gridiron Guru	D.J. Chark	WR	JAC	North	2021
8	90	Tua Girls One Kupp	Corey Davis	WR	NYJ	North	2021
8	91	Rusty Hammer	Jalen Hurts	QB	PHI	North	2021
8	92	Buck Wild Roosters	Zack Moss	RB	BUF	North	2021
8	93	Playoff Donkeys	Jarvis Landry	WR	CLE	North	2021
8	94	Schmidts & Giggles	Rob Gronkowski	TE	TBB	North	2021
8	95	AFCCP	Matthew Stafford	QB	LAR	North	2021
8	96	Poner	Ronald Jones	RB	TBB	North	2021
9	97	Poner	Michael Thomas	WR	NOS	North	2021
9	98	AFCCP	Henry Ruggs	WR	FA	North	2021
9	99	Schmidts & Giggles	Michael Gallup	WR	DAL	North	2021
9	100	Playoff Donkeys	Antonio Brown	WR	FA	North	2021
9	101	Buck Wild Roosters	Tyrell Williams	WR	FA	North	2021
9	102	Rusty Hammer	Dallas Goedert	TE	PHI	North	2021
9	103	Tua Girls One Kupp	Russell Gage	WR	ATL	North	2021
9	104	Gridiron Guru	Marquez Callaway	WR	NOS	North	2021
9	105	Raptors	Robert Tonyan	TE	GBP	North	2021
9	106	Moose Men	Mike Gesicki	TE	MIA	North	2021
9	107	Rory's Fury	Jaylen Waddle	WR	MIA	North	2021
9	108	Banana's Bunch	Noah Fant	TE	DEN	North	2021
10	109	Banana's Bunch	Michael Pittman	WR	IND	North	2021
10	110	Rory's Fury	James Conner	RB	ARI	North	2021
10	111	Moose Men	Michael Carter	RB	NYJ	North	2021
10	112	Raptors	Sony Michel	RB	LAR	North	2021
10	113	Gridiron Guru	Jonnu Smith	TE	NEP	North	2021
10	114	Tua Girls One Kupp	Los Angeles Rams	Def	LAR	North	2021
10	115	Rusty Hammer	Curtis Samuel	WR	WAS	North	2021
10	116	Buck Wild Roosters	AJ Dillon	RB	GBP	North	2021
10	117	Playoff Donkeys	Devin Singletary	RB	BUF	North	2021
10	118	Schmidts & Giggles	David Johnson	RB	HOU	North	2021
10	119	AFCCP	Hunter Henry	TE	NEP	North	2021
10	120	Poner	Will Fuller	WR	MIA	North	2021
11	121	Poner	Pittsburgh Steelers	Def	PIT	North	2021
11	122	AFCCP	Marquise Brown	WR	BAL	North	2021
11	123	Schmidts & Giggles	Tony Pollard	RB	DAL	North	2021
11	124	Playoff Donkeys	Nyheim Hines	RB	IND	North	2021
11	125	Buck Wild Roosters	J.D. McKissic	RB	WAS	North	2021
11	126	Rusty Hammer	Cole Beasley	WR	BUF	North	2021
11	127	Tua Girls One Kupp	Rhamondre Stevenson	RB	NEP	North	2021
11	128	Gridiron Guru	Elijah Moore	WR	NYJ	North	2021
11	129	Raptors	Marvin Jones	WR	JAC	North	2021
11	130	Moose Men	Jakobi Meyers	WR	NEP	North	2021
11	131	Rory's Fury	Mike Williams	WR	LAC	North	2021
11	132	Banana's Bunch	James White	RB	NEP	North	2021
12	133	Banana's Bunch	Mecole Hardman	WR	KCC	North	2021
12	134	Rory's Fury	Trevor Lawrence	QB	JAC	North	2021
12	135	Moose Men	Jamaal Williams	RB	DET	North	2021
12	136	Raptors	Tampa Bay Buccaneers	Def	TBB	North	2021
12	137	Gridiron Guru	Jalen Reagor	WR	PHI	North	2021
12	138	Tua Girls One Kupp	Anthony Firkser	TE	TEN	North	2021
12	139	Rusty Hammer	DeVante Parker	WR	MIA	North	2021
12	140	Buck Wild Roosters	Washington Football Team	Def	WAS	North	2021
12	141	Playoff Donkeys	Baltimore Ravens	Def	BAL	North	2021
12	142	Schmidts & Giggles	Sterling Shepard	WR	NYG	North	2021
12	143	AFCCP	Devontae Booker	RB	NYG	North	2021
12	144	Poner	Darnell Mooney	WR	CHI	North	2021
13	145	Poner	Justin Tucker	PK	BAL	North	2021
13	146	AFCCP	Alexander Mattison	RB	MIN	North	2021
13	147	Schmidts & Giggles	San Francisco 49ers	Def	SFO	North	2021
13	148	Playoff Donkeys	Matt Ryan	QB	ATL	North	2021
13	149	Buck Wild Roosters	Austin Hooper	TE	CLE	North	2021
13	150	Rusty Hammer	Buffalo Bills	Def	BUF	North	2021
13	151	Tua Girls One Kupp	Marlon Mack	RB	IND	North	2021
13	152	Gridiron Guru	Justin Fields	QB	CHI	North	2021
13	153	Raptors	Justin Jackson	RB	LAC	North	2021
13	154	Moose Men	Blake Jarwin	TE	DAL	North	2021
13	155	Rory's Fury	Terrace Marshall	WR	CAR	North	2021
13	156	Banana's Bunch	New England Patriots	Def	NEP	North	2021
14	157	Banana's Bunch	Joe Burrow	QB	CIN	North	2021
14	158	Rory's Fury	Rashaad Penny	RB	SEA	North	2021
14	159	Moose Men	Indianapolis Colts	Def	IND	North	2021
14	160	Raptors	Cole Kmet	TE	CHI	North	2021
14	161	Gridiron Guru	Rondale Moore	WR	ARI	North	2021
14	162	Tua Girls One Kupp	Ryan Succop	PK	TBB	North	2021
14	163	Rusty Hammer	Harrison Butker	PK	KCC	North	2021
14	164	Buck Wild Roosters	Jameis Winston	QB	NOS	North	2021
14	165	Playoff Donkeys	Tony Jones	RB	NOS	North	2021
14	166	Schmidts & Giggles	Greg Zuerlein	PK	DAL	North	2021
14	167	AFCCP	Denver Broncos	Def	DEN	North	2021
14	168	Poner	Kirk Cousins	QB	MIN	North	2021
15	169	Poner	Phillip Lindsay	RB	MIA	North	2021
15	170	AFCCP	Tyler Bass	PK	BUF	North	2021
15	171	Schmidts & Giggles	Tre'Quan Smith	WR	NOS	North	2021
15	172	Playoff Donkeys	Younghoe Koo	PK	ATL	North	2021
15	173	Buck Wild Roosters	Chuba Hubbard	RB	CAR	North	2021
15	174	Rusty Hammer	Zach Ertz	TE	ARI	North	2021
15	175	Tua Girls One Kupp	Nelson Agholor	WR	NEP	North	2021
15	176	Gridiron Guru	Jason Myers	PK	SEA	North	2021
15	177	Raptors	Daniel Carlson	PK	LVR	North	2021
15	178	Moose Men	Jamison Crowder	WR	NYJ	North	2021
15	179	Rory's Fury	Chicago Bears	Def	CHI	North	2021
15	180	Banana's Bunch	Ty'Son Baltimore	RB	BAL	North	2021
16	181	Banana's Bunch	Gerald Everett	TE	SEA	North	2021
16	182	Rory's Fury	Marquez Valdes-Scantling	WR	GBP	North	2021
16	183	Moose Men	Mark Ingram	RB	NOS	North	2021
16	184	Raptors	Miami Dolphins	Def	MIA	North	2021
16	185	Gridiron Guru	Carolina Panthers	Def	CAR	North	2021
16	186	Tua Girls One Kupp	Jeffery Wilson	RB	SFO	North	2021
16	187	Rusty Hammer	Christian Kirk	WR	ARI	North	2021
16	188	Buck Wild Roosters	Emmanuel Sanders	WR	BUF	North	2021
16	189	Playoff Donkeys	Tevin Coleman	RB	NYJ	North	2021
16	190	Schmidts & Giggles	Jared Cook	TE	LAC	North	2021
16	191	AFCCP	Giovani Bernard	RB	TBB	North	2021
16	192	Poner	Malcolm Brown	RB	MIA	North	2021
17	193	Poner	A.J. Green	WR	ARI	North	2021
17	194	AFCCP	Carlos Hyde	RB	JAC	North	2021
17	195	Schmidts & Giggles	Darrel Williams	RB	KCC	North	2021
17	196	Playoff Donkeys	Le'Veon Bell	RB	FA	North	2021
17	197	Buck Wild Roosters	Dustin Hopkins	PK	LAC	North	2021
17	198	Rusty Hammer	Baker Mayfield	QB	CLE	North	2021
17	199	Tua Girls One Kupp	Tua Tagovailoa	QB	MIA	North	2021
17	200	Gridiron Guru	Gabriel Davis	WR	BUF	North	2021
17	201	Raptors	Trey Lance	QB	SFO	North	2021
17	202	Moose Men	Jason Sanders	PK	MIA	North	2021
17	203	Rory's Fury	Robbie Gould	PK	SFO	North	2021
17	204	Banana's Bunch	Mason Crosby	PK	GBP	North	2021
1	1	Offensive Lyonmen	Christian McCaffrey	RB	CAR	South 	2021
1	2	Unicorns & Cremes	Dalvin Cook	RB	MIN	South 	2021
1	3	Cosmo's Crew	Derrick Henry	RB	TEN	South 	2021
1	4	M-Dogg	Alvin Kamara	RB	NOS	South 	2021
1	5	Water Rats	Davante Adams	WR	GBP	South 	2021
1	6	Hail to the Chef	Ezekiel Elliott	RB	DAL	South 	2021
1	7	Renegades	Aaron Jones	RB	GBP	South 	2021
1	8	The Motor City Kitties	Tyreek Hill	WR	KCC	South 	2021
1	9	Slammin Salmons	Saquon Barkley	RB	NYG	South 	2021
1	10	Maryland Madness	Austin Ekeler	RB	LAC	South 	2021
1	11	Baby Fumblers	Jonathan Taylor	RB	IND	South 	2021
1	12	Team Jackson	Nick Chubb	RB	CLE	South 	2021
2	13	Team Jackson	DeAndre Hopkins	WR	ARI	South 	2021
2	14	Baby Fumblers	Antonio Gibson	RB	WAS	South 	2021
2	15	Maryland Madness	Stefon Diggs	WR	BUF	South 	2021
2	16	Slammin Salmons	Patrick Mahomes	QB	KCC	South 	2021
2	17	The Motor City Kitties	Joe Mixon	RB	CIN	South 	2021
2	18	Renegades	Najee Harris	RB	PIT	South 	2021
2	19	Hail to the Chef	Travis Kelce	TE	KCC	South 	2021
2	20	Water Rats	DK Metcalf	WR	SEA	South 	2021
2	21	M-Dogg	Clyde Edwards-Helaire	RB	KCC	South 	2021
2	22	Cosmo's Crew	Keenan Allen	WR	LAC	South 	2021
2	23	Unicorns & Cremes	Calvin Ridley	WR	ATL	South 	2021
2	24	Offensive Lyonmen	Justin Jefferson	WR	MIN	South 	2021
3	25	Offensive Lyonmen	A.J. Brown	WR	TEN	South 	2021
3	26	Unicorns & Cremes	Mike Evans	WR	TBB	South 	2021
3	27	Cosmo's Crew	Chris Carson	RB	SEA	South 	2021
3	28	M-Dogg	Darren Waller	TE	LVR	South 	2021
3	29	Water Rats	Miles Sanders	RB	PHI	South 	2021
3	30	Hail to the Chef	CeeDee Lamb	WR	DAL	South 	2021
3	31	Renegades	Allen Robinson	WR	CHI	South 	2021
3	32	The Motor City Kitties	David Montgomery	RB	CHI	South 	2021
3	33	Slammin Salmons	George Kittle	TE	SFO	South 	2021
3	34	Maryland Madness	D'Andre Swift	RB	DET	South 	2021
3	35	Baby Fumblers	Terry McLaurin	WR	WAS	South 	2021
3	36	Team Jackson	Josh Jacobs	RB	LVR	South 	2021
4	37	Team Jackson	Chris Godwin	WR	TBB	South 	2021
4	38	Baby Fumblers	Robert Woods	WR	LAR	South 	2021
4	39	Maryland Madness	Tyler Lockett	WR	SEA	South 	2021
4	40	Slammin Salmons	Julio Jones	WR	TEN	South 	2021
4	41	The Motor City Kitties	D.J. Moore	WR	CAR	South 	2021
4	42	Renegades	Amari Cooper	WR	DAL	South 	2021
4	43	Hail to the Chef	Josh Allen	QB	BUF	South 	2021
4	44	Water Rats	Kyler Murray	QB	ARI	South 	2021
4	45	M-Dogg	Cooper Kupp	WR	LAR	South 	2021
4	46	Cosmo's Crew	Tee Higgins	WR	CIN	South 	2021
4	47	Unicorns & Cremes	James Robinson	RB	JAC	South 	2021
4	48	Offensive Lyonmen	Gus Edwards	RB	BAL	South 	2021
5	49	Offensive Lyonmen	Lamar Jackson	QB	BAL	South 	2021
5	50	Unicorns & Cremes	Chase Edmonds	RB	ARI	South 	2021
5	51	Cosmo's Crew	Kareem Hunt	RB	CLE	South 	2021
5	52	M-Dogg	Adam Thielen	WR	MIN	South 	2021
5	53	Water Rats	JuJu Smith-Schuster	WR	PIT	South 	2021
5	54	Hail to the Chef	Mike Davis	RB	ATL	South 	2021
5	55	Renegades	Mark Andrews	TE	BAL	South 	2021
5	56	The Motor City Kitties	Diontae Johnson	WR	PIT	South 	2021
5	57	Slammin Salmons	Myles Gaskin	RB	MIA	South 	2021
5	58	Maryland Madness	Brandin Cooks	WR	HOU	South 	2021
5	59	Baby Fumblers	Brandon Aiyuk	WR	SFO	South 	2021
5	60	Team Jackson	Raheem Mostert	RB	SFO	South 	2021
6	61	Team Jackson	Ja'Marr Chase	WR	CIN	South 	2021
6	62	Baby Fumblers	Javonte Williams	RB	DEN	South 	2021
6	63	Maryland Madness	Russell Wilson	QB	SEA	South 	2021
6	64	Slammin Salmons	Aaron Rodgers	QB	GBP	South 	2021
6	65	The Motor City Kitties	Kyle Pitts	TE	ATL	South 	2021
6	66	Renegades	Dak Prescott	QB	DAL	South 	2021
6	67	Hail to the Chef	Odell Beckham	WR	LAR	South 	2021
6	68	Water Rats	Zach Ertz	TE	ARI	South 	2021
6	69	M-Dogg	Tom Brady	QB	TBB	South 	2021
6	70	Cosmo's Crew	Jerry Jeudy	WR	DEN	South 	2021
6	71	Unicorns & Cremes	T.J. Hockenson	TE	DET	South 	2021
6	72	Offensive Lyonmen	Chase Claypool	WR	PIT	South 	2021
7	73	Offensive Lyonmen	Laviska Shenault	WR	JAC	South 	2021
7	74	Unicorns & Cremes	Robby Anderson	WR	CAR	South 	2021
7	75	Cosmo's Crew	Justin Herbert	QB	LAC	South 	2021
7	76	M-Dogg	Tyler Boyd	WR	CIN	South 	2021
7	77	Water Rats	Trevor Lawrence	QB	JAC	South 	2021
7	78	Hail to the Chef	Damien Harris	RB	NEP	South 	2021
7	79	Renegades	Darrell Henderson	RB	LAR	South 	2021
7	80	The Motor City Kitties	Courtland Sutton	WR	DEN	South 	2021
7	81	Slammin Salmons	Kenny Golladay	WR	NYG	South 	2021
7	82	Maryland Madness	Melvin Gordon	RB	DEN	South 	2021
7	83	Baby Fumblers	Logan Thomas	TE	WAS	South 	2021
7	84	Team Jackson	Jarvis Landry	WR	CLE	South 	2021
8	85	Team Jackson	Ronald Jones	RB	TBB	South 	2021
8	86	Baby Fumblers	Matthew Stafford	QB	LAR	South 	2021
8	87	Maryland Madness	DeVonta Smith	WR	PHI	South 	2021
8	88	Slammin Salmons	Michael Thomas	WR	NOS	South 	2021
8	89	The Motor City Kitties	Trey Sermon	RB	SFO	South 	2021
8	90	Renegades	Marvin Jones	WR	JAC	South 	2021
8	91	Hail to the Chef	Corey Davis	WR	NYJ	South 	2021
8	92	Water Rats	Leonard Fournette	RB	TBB	South 	2021
8	93	M-Dogg	Curtis Samuel	WR	WAS	South 	2021
8	94	Cosmo's Crew	D.J. Chark	WR	JAC	South 	2021
8	95	Unicorns & Cremes	James Conner	RB	ARI	South 	2021
8	96	Offensive Lyonmen	Zack Moss	RB	BUF	South 	2021
9	97	Offensive Lyonmen	Noah Fant	TE	DEN	South 	2021
9	98	Unicorns & Cremes	Ryan Tannehill	QB	TEN	South 	2021
9	99	Cosmo's Crew	Tyler Higbee	TE	LAR	South 	2021
9	100	M-Dogg	Michael Pittman	WR	IND	South 	2021
9	101	Water Rats	Jared Cook	TE	LAC	South 	2021
9	102	Hail to the Chef	Deebo Samuel	WR	SFO	South 	2021
9	103	Renegades	Jamaal Williams	RB	DET	South 	2021
9	104	The Motor City Kitties	Marquise Brown	WR	BAL	South 	2021
9	105	Slammin Salmons	Devin Singletary	RB	BUF	South 	2021
9	106	Maryland Madness	Dallas Goedert	TE	PHI	South 	2021
9	107	Baby Fumblers	Sony Michel	RB	LAR	South 	2021
9	108	Team Jackson	Anthony Firkser	TE	TEN	South 	2021
10	109	Team Jackson	Sterling Shepard	WR	NYG	South 	2021
10	110	Baby Fumblers	AJ Dillon	RB	GBP	South 	2021
10	111	Maryland Madness	Russell Gage	WR	ATL	South 	2021
10	112	Slammin Salmons	Los Angeles Rams	Def	LAR	South 	2021
10	113	The Motor City Kitties	Michael Carter	RB	NYJ	South 	2021
10	114	Renegades	Jakobi Meyers	WR	NEP	South 	2021
10	115	Hail to the Chef	Antonio Brown	WR	FA	South 	2021
10	116	Water Rats	Henry Ruggs	WR	FA	South 	2021
10	117	M-Dogg	Kenyan Drake	RB	LVR	South 	2021
10	118	Cosmo's Crew	James White	RB	NEP	South 	2021
10	119	Unicorns & Cremes	Mecole Hardman	WR	KCC	South 	2021
10	120	Offensive Lyonmen	Jalen Hurts	QB	PHI	South 	2021
11	121	Offensive Lyonmen	Marquez Callaway	WR	NOS	South 	2021
11	122	Unicorns & Cremes	Darnell Mooney	WR	CHI	South 	2021
11	123	Cosmo's Crew	Michael Gallup	WR	DAL	South 	2021
11	124	M-Dogg	Cole Beasley	WR	BUF	South 	2021
11	125	Water Rats	Carlos Hyde	RB	JAC	South 	2021
11	126	Hail to the Chef	Tony Pollard	RB	DAL	South 	2021
11	127	Renegades	J.D. McKissic	RB	WAS	South 	2021
11	128	The Motor City Kitties	Jonnu Smith	TE	NEP	South 	2021
11	129	Slammin Salmons	Robert Tonyan	TE	GBP	South 	2021
11	130	Maryland Madness	David Johnson	RB	HOU	South 	2021
11	131	Baby Fumblers	Jaylen Waddle	WR	MIA	South 	2021
11	132	Team Jackson	Joe Burrow	QB	CIN	South 	2021
12	133	Team Jackson	Jamison Crowder	WR	NYJ	South 	2021
12	134	Baby Fumblers	Elijah Moore	WR	NYJ	South 	2021
12	135	Maryland Madness	Baltimore Ravens	Def	BAL	South 	2021
12	136	Slammin Salmons	Buffalo Bills	Def	BUF	South 	2021
12	137	The Motor City Kitties	Baker Mayfield	QB	CLE	South 	2021
12	138	Renegades	Mike Williams	WR	LAC	South 	2021
12	139	Hail to the Chef	Nyheim Hines	RB	IND	South 	2021
12	140	Water Rats	Justin Tucker	PK	BAL	South 	2021
12	141	M-Dogg	Phillip Lindsay	RB	MIA	South 	2021
12	142	Cosmo's Crew	Mike Gesicki	TE	MIA	South 	2021
12	143	Unicorns & Cremes	Rhamondre Stevenson	RB	NEP	South 	2021
12	144	Offensive Lyonmen	Alexander Mattison	RB	MIN	South 	2021
13	145	Offensive Lyonmen	Darrynton Evans	RB	TEN	South 	2021
13	146	Unicorns & Cremes	Kirk Cousins	QB	MIN	South 	2021
13	147	Cosmo's Crew	Tua Tagovailoa	QB	MIA	South 	2021
13	148	M-Dogg	Rob Gronkowski	TE	TBB	South 	2021
13	149	Water Rats	Pittsburgh Steelers	Def	PIT	South 	2021
13	150	Hail to the Chef	Will Fuller	WR	MIA	South 	2021
13	151	Renegades	Washington Football Team	Def	WAS	South 	2021
13	152	The Motor City Kitties	Tampa Bay Buccaneers	Def	TBB	South 	2021
13	153	Slammin Salmons	Harrison Butker	PK	KCC	South 	2021
13	154	Maryland Madness	Rondale Moore	WR	ARI	South 	2021
13	155	Baby Fumblers	DeVante Parker	WR	MIA	South 	2021
13	156	Team Jackson	Jalen Reagor	WR	PHI	South 	2021
14	157	Team Jackson	Tevin Coleman	RB	NYJ	South 	2021
14	158	Baby Fumblers	Trey Lance	QB	SFO	South 	2021
14	159	Maryland Madness	Blake Jarwin	TE	DAL	South 	2021
14	160	Slammin Salmons	Younghoe Koo	PK	ATL	South 	2021
14	161	The Motor City Kitties	Ben Roethlisberger	QB	PIT	South 	2021
14	162	Renegades	Gerald Everett	TE	SEA	South 	2021
14	163	Hail to the Chef	New England Patriots	Def	NEP	South 	2021
14	164	Water Rats	Kansas City Chiefs	Def	KCC	South 	2021
14	165	M-Dogg	Rashaad Penny	RB	SEA	South 	2021
14	166	Cosmo's Crew	Giovani Bernard	RB	TBB	South 	2021
14	167	Unicorns & Cremes	Nelson Agholor	WR	NEP	South 	2021
14	168	Offensive Lyonmen	San Francisco 49ers	Def	SFO	South 	2021
15	169	Offensive Lyonmen	Bryan Edwards	WR	LVR	South 	2021
15	170	Unicorns & Cremes	Miami Dolphins	Def	MIA	South 	2021
15	171	Cosmo's Crew	Latavius Murray	RB	BAL	South 	2021
15	172	M-Dogg	Denver Broncos	Def	DEN	South 	2021
15	173	Water Rats	Jake Elliott	PK	PHI	South 	2021
15	174	Hail to the Chef	Matt Ryan	QB	ATL	South 	2021
15	175	Renegades	Rodrigo Blankenship	PK	IND	South 	2021
15	176	The Motor City Kitties	A.J. Green	WR	ARI	South 	2021
15	177	Slammin Salmons	Tyrell Williams	WR	FA	South 	2021
15	178	Maryland Madness	Terrace Marshall	WR	CAR	South 	2021
15	179	Baby Fumblers	Indianapolis Colts	Def	IND	South 	2021
15	180	Team Jackson	Cleveland Browns	Def	CLE	South 	2021
16	181	Team Jackson	Hunter Henry	TE	NEP	South 	2021
16	182	Baby Fumblers	Tyler Bass	PK	BUF	South 	2021
16	183	Maryland Madness	Ryan Succop	PK	TBB	South 	2021
16	184	Slammin Salmons	Evan Engram	TE	NYG	South 	2021
16	185	The Motor City Kitties	Jason Sanders	PK	MIA	South 	2021
16	186	Renegades	Jameis Winston	QB	NOS	South 	2021
16	187	Hail to the Chef	Greg Zuerlein	PK	DAL	South 	2021
16	188	Water Rats	Mark Ingram	RB	NOS	South 	2021
16	189	M-Dogg	Robbie Gould	PK	SFO	South 	2021
16	190	Cosmo's Crew	Green Bay Packers	Def	GBP	South 	2021
16	191	Unicorns & Cremes	Pat Freiermuth	TE	PIT	South 	2021
16	192	Offensive Lyonmen	Randall Cobb	WR	GBP	South 	2021
17	193	Offensive Lyonmen	Daniel Carlson	PK	LVR	South 	2021
17	194	Unicorns & Cremes	Jason Myers	PK	SEA	South 	2021
17	195	Cosmo's Crew	Mason Crosby	PK	GBP	South 	2021
17	196	M-Dogg	Darrel Williams	RB	KCC	South 	2021
17	197	Water Rats	O.J. Howard	TE	TBB	South 	2021
17	198	Hail to the Chef	Cole Kmet	TE	CHI	South 	2021
17	199	Renegades	Parris Campbell	WR	IND	South 	2021
17	200	The Motor City Kitties	Boston Scott	RB	PHI	South 	2021
17	201	Slammin Salmons	Marlon Mack	RB	IND	South 	2021
17	202	Maryland Madness	Derek Carr	QB	LVR	South 	2021
17	203	Baby Fumblers	Austin Hooper	TE	CLE	South 	2021
17	204	Team Jackson	Matt Gay	PK	LAR	South 	2021
1	1	Rory's Fury	Saquon Barkley	RB	NYG	North	2020
1	2	50,000 Watts of Funkin	Christian McCaffrey	RB	CAR	North	2020
1	3	Schmidts & Giggles	Ezekiel Elliott	RB	DAL	North	2020
1	4	The Motor City	Derrick Henry	RB	TEN	North	2020
1	5	Kitties	Michael Thomas	WR	NOS	North	2020
1	6	Moose Men	Alvin Kamara	RB	NOS	North	2020
1	7	Baby Fumblers	Lamar Jackson	QB	BAL	North	2020
1	8	Cosmo's Crew	Dalvin Cook	RB	MIN	North	2020
1	9	Renegades	Clyde Edwards-Helaire	RB	KCC	North	2020
1	10	Raptors	Davante Adams	WR	GBP	North	2020
1	11	My Balls are Perfect	Josh Jacobs	RB	LVR	North	2020
1	12	Rusty Hammer	Aaron Jones	RB	GBP	North	2020
2	13	Team Jackson	DeAndre Hopkins	WR	ARI	North	2020
2	14	Team Jackson	Julio Jones	WR	ATL	North	2020
2	15	Rusty Hammer	Nick Chubb	RB	CLE	North	2020
2	16	My Balls are Perfect	Austin Ekeler	RB	LAC	North	2020
2	17	Raptors	Joe Mixon	RB	CIN	North	2020
2	18	Renegades	Miles Sanders	RB	PHI	North	2020
2	19	Cosmo's Crew	Kenyan Drake	RB	ARI	North	2020
2	20	Baby Fumblers	Patrick Mahomes	QB	KCC	North	2020
2	21	Moose Men	Tyreek Hill	WR	KCC	North	2020
2	22	Kitties	Chris Godwin	WR	TBB	North	2020
2	23	The Motor City	James Conner	RB	PIT	North	2020
2	24	Schmidts & Giggles	Travis Kelce	TE	KCC	North	2020
3	25	50,000 Watts of Funkin	Mike Evans	WR	TBB	North	2020
3	26	Rory's Fury	Kenny Golladay	WR	DET	North	2020
3	27	Rory's Fury	Deshaun Watson	QB	HOU	North	2020
3	28	50,000 Watts of Funkin	George Kittle	TE	SFO	North	2020
3	29	Schmidts & Giggles	Leonard Fournette	RB	TBB	North	2020
3	30	The Motor City	Allen Robinson	WR	CHI	North	2020
3	31	Kitties	Adam Thielen	WR	MIN	North	2020
3	32	Moose Men	D.J. Moore	WR	CAR	North	2020
3	33	Baby Fumblers	Cooper Kupp	WR	LAR	North	2020
3	34	Cosmo's Crew	Amari Cooper	WR	DAL	North	2020
3	35	Renegades	Zach Ertz	TE	PHI	North	2020
3	36	Raptors	Todd Gurley	RB	ATL	North	2020
4	37	My Balls are Perfect	Odell Beckham	WR	CLE	North	2020
4	38	Rusty Hammer	Mark Andrews	TE	BAL	North	2020
4	39	Team Jackson	Le'Veon Bell	RB	KCC	North	2020
4	40	Team Jackson	Calvin Ridley	WR	ATL	North	2020
4	41	Rusty Hammer	Tyler Lockett	WR	SEA	North	2020
4	42	My Balls are Perfect	DK Metcalf	WR	SEA	North	2020
4	43	Raptors	Robert Woods	WR	LAR	North	2020
4	44	Renegades	David Johnson	RB	HOU	North	2020
4	45	Cosmo's Crew	JuJu Smith-Schuster	WR	PIT	North	2020
4	46	Baby Fumblers	Mark Ingram	RB	FA	North	2020
4	47	Moose Men	A.J. Brown	WR	TEN	North	2020
4	48	Kitties	Keenan Allen	WR	LAC	North	2020
5	49	The Motor City	Chris Carson	RB	SEA	North	2020
5	50	Schmidts & Giggles	Cam Akers	RB	LAR	North	2020
5	51	50,000 Watts of Funkin	A.J. Green	WR	CIN	North	2020
5	52	Rory's Fury	Jonathan Taylor	RB	IND	North	2020
5	53	Rory's Fury	Stefon Diggs	WR	BUF	North	2020
5	54	50,000 Watts of Funkin	Melvin Gordon	RB	DEN	North	2020
5	55	Schmidts & Giggles	Raheem Mostert	RB	SFO	North	2020
5	56	The Motor City	Kareem Hunt	RB	CLE	North	2020
5	57	Kitties	Terry McLaurin	WR	WAS	North	2020
5	58	Moose Men	DeVante Parker	WR	MIA	North	2020
5	59	Baby Fumblers	Courtland Sutton	WR	DEN	North	2020
5	60	Cosmo's Crew	Devin Singletary	RB	BUF	North	2020
6	61	Renegades	Jarvis Landry	WR	CLE	North	2020
6	62	Raptors	Darren Waller	TE	LVR	North	2020
6	63	My Balls are Perfect	Dak Prescott	QB	DAL	North	2020
6	64	Rusty Hammer	Tarik Cohen	RB	CHI	North	2020
6	65	Team Jackson	Russell Wilson	QB	SEA	North	2020
6	66	Team Jackson	Tyler Boyd	WR	CIN	North	2020
6	67	Rusty Hammer	D.J. Chark	WR	JAC	North	2020
6	68	My Balls are Perfect	Julian Edelman	WR	NEP	North	2020
6	69	Raptors	Michael Gallup	WR	DAL	North	2020
6	70	Renegades	Jared Cook	TE	NOS	North	2020
6	71	Cosmo's Crew	Aaron Rodgers	QB	GBP	North	2020
6	72	Baby Fumblers	Kyler Murray	QB	ARI	North	2020
7	73	Moose Men	Brandin Cooks	WR	HOU	North	2020
7	74	Kitties	Marquise Brown	WR	BAL	North	2020
7	75	The Motor City	James White	RB	NEP	North	2020
7	76	Schmidts & Giggles	Jordan Howard	RB	PHI	North	2020
7	77	50,000 Watts of Funkin	Antonio Gibson	RB	WAS	North	2020
7	78	Rory's Fury	Hayden Hurst	TE	ATL	North	2020
7	79	Rory's Fury	J.K. Dobbins	RB	BAL	North	2020
